hwb_class,count,avg_year,avg_length_m,avg_deck_area_m2,avg_spans,pct_conventional,median_slight,median_moderate,median_extensive,median_complete
HWB1,165,1958.5,323.5,6729.6,10.0,100.0,0.25,0.35,0.45,0.7
HWB10,23,1949.4,70.6,1406.3,3.2,100.0,0.35,0.45,0.55,0.8
HWB15,73,1950.8,23.2,490.5,1.0,100.0,0.6,0.9,1.1,1.5
HWB16,21,1992.2,17.5,188.6,1.0,0.0,0.9,0.9,1.1,1.5
HWB2,140,1992.8,424.5,7012.6,10.2,0.0,0.35,0.45,0.55,0.8
HWB28,107,1954.0,55.6,1055.6,2.8,95.3,0.35,0.45,0.55,0.8
HWB3,665,1956.9,24.1,687.1,1.0,100.0,0.6,0.9,1.1,1.5
HWB4,264,1989.5,30.7,790.5,1.0,0.0,0.9,0.9,1.1,1.5
HWB5,882,1960.7,62.2,1464.6,3.2,100.0,0.35,0.45,0.55,0.8
HWB6,256,1988.0,82.4,1725.0,2.9,0.0,0.6,0.9,1.3,1.6
HWB7,285,1956.6,29.5,599.9,2.9,100.0,0.35,0.45,0.55,0.8
HWB8,72,1995.5,34.4,786.6,3.0,0.0,0.6,0.9,1.3,1.6
